id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11009717,The cosy lodge,2526454,Stefania,,Kingston upon Thames,51.36415873,-0.307126952,Entire home/apt,85,1,7,30/08/2016,0.93,2,365
3798279,Gorgeous Victorian House - Kingston,2157318,Stephanie,,Kingston upon Thames,51.40449537,-0.296757034,Entire home/apt,67,2,0,,,1,0
9851854,Bright & Airy Victorian Flat - Heart of Kingston,50718952,Victoria,,Kingston upon Thames,51.40624798,-0.303095422,Entire home/apt,50,4,18,12/09/2016,1.96,1,118
1262205,"Whole House Surbiton, handy London",3360710,Elizabeth,,Kingston upon Thames,51.38974432,-0.293988915,Entire home/apt,100,6,12,09/09/2016,0.32,1,178
13495269,Cosy basic flat - short stays only,14939828,Leena,,Kingston upon Thames,51.41303834,-0.282627481,Entire home/apt,30,1,5,01/10/2016,1.44,1,317
6808782,"Unique, Beautiful, Converted Pub",16136449,Paul,,Kingston upon Thames,51.41447957,-0.299371627,Entire home/apt,100,3,13,02/10/2016,0.89,2,40
10085459,Warm modern flat in Kingston,15082436,Paolo & Lia,,Kingston upon Thames,51.40986588,-0.291874583,Entire home/apt,85,6,16,30/09/2016,1.75,2,41
5098744,Luxurious NEW 1-Bed Apartment ,26345340,Sheni,,Kingston upon Thames,51.41389943,-0.306504748,Entire home/apt,95,1,18,28/08/2016,0.92,1,281
8081184,Private 2 bed Flat in Surbiton,27649765,James,,Kingston upon Thames,51.39280806,-0.306635529,Entire home/apt,59,3,0,,,1,0
12296555,The Little Cottage,33096320,Sabrina,,Kingston upon Thames,51.42149863,-0.269354475,Entire home/apt,135,2,6,09/09/2016,1.33,1,350
12563885,1 bedroom Richmond Park,68089169,Pamela,,Kingston upon Thames,51.42460634,-0.293093267,Entire home/apt,53,1,0,,,1,0
6790399,"17min-train to Waterloo, London",13670833,Olga,,Kingston upon Thames,51.39808314,-0.293294007,Entire home/apt,120,3,5,17/09/2016,0.33,1,365
11665612,Queenslea Cottage,61924835,Samantha,,Kingston upon Thames,51.40270036,-0.298637216,Entire home/apt,85,2,6,21/08/2016,1.46,1,154
15048330,"Airports, Waterloo, Wimbledon, Chessington in mins",38363495,Sanober,,Kingston upon Thames,51.40382975,-0.253956905,Entire home/apt,89,3,0,,,2,336
15171787,Light and comfortable flat near Richmond Park,81142852,Lucia,,Kingston upon Thames,51.42096004,-0.287474448,Entire home/apt,90,1,0,,,1,90
15172609,Super self-contained one bed flat,82868127,David,,Kingston upon Thames,51.4053275,-0.263588782,Entire home/apt,65,2,1,29/09/2016,1,1,62
4023781,Lovely Victorian studio flat,20860377,Linda,,Kingston upon Thames,51.41403576,-0.286074741,Entire home/apt,82,3,6,06/08/2016,0.25,2,163
15088549,White House,83582172,Grace,,Kingston upon Thames,51.36080696,-0.309862448,Entire home/apt,200,2,0,,,4,81
12149212,"Apartment in Kingston-upon-Thames,",65231161,Maggie,,Kingston upon Thames,51.41374957,-0.304035997,Entire home/apt,85,7,3,28/08/2016,0.55,1,256
13304296,Bright 2 dbl-bedroom flat 20min to London Waterloo,69609516,Inas,,Kingston upon Thames,51.39974884,-0.301889253,Entire home/apt,99,1,10,12/09/2016,2.91,2,302
14483521,"2 bedroom apartment, Central Parade Surbiton",85452197,Tia,,Kingston upon Thames,51.39261772,-0.303046927,Entire home/apt,75,3,0,,,1,354
