id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6648555,Private room near to station&London,34801419,Isabel,,Kingston upon Thames,51.38683817,-0.295859994,Private room,45,2,6,18/08/2016,0.8,1,147
5187349,Kingsize with ensuite and tv room,22611343,Lucy,,Kingston upon Thames,51.41524071,-0.290898486,Private room,60,1,18,18/09/2016,1.19,2,75
617242,Lovely Riverside Room in Surbiton,3059534,Ester,,Kingston upon Thames,51.39636631,-0.308295456,Private room,50,1,23,11/09/2016,0.46,1,284
14627491,Cosy double bedroom in Kingston Upon Thames,87821955,Giri,,Kingston upon Thames,51.41169122,-0.290879654,Private room,99,1,0,,,3,365
7812336,Private Double Room-Shared Bathroom,11828397,Kate,,Kingston upon Thames,51.40199752,-0.294056621,Private room,60,1,0,,,1,365
13648436,"Bright double room, close to station and centre",10584158,Stefano,,Kingston upon Thames,51.39278478,-0.300933303,Private room,100,2,0,,,1,61
14912894,Comfy sunny double room by river,72718519,Leanne,,Kingston upon Thames,51.43111701,-0.309713065,Private room,20,2,3,27/09/2016,3,1,270
12534226,Modern loft suite,67904006,Jan,,Kingston upon Thames,51.41295189,-0.290945605,Private room,55,1,15,25/09/2016,3.75,1,358
6656775,Room with king size bed & wardrobe,24976001,M,,Kingston upon Thames,51.40481514,-0.265555637,Private room,85,1,0,,,1,365
14894399,"Large D/room, Friendly home, access C/London easy",93463316,Sue,,Kingston upon Thames,51.37454437,-0.303409409,Private room,32,1,1,18/09/2016,1,1,66
13472704,Double Room in North Kingston (Richmond Park),77078182,Hannah,,Kingston upon Thames,51.41572344,-0.292245941,Private room,50,2,0,,,1,0
3263103,En suite single BR w parking,16319891,Theeba,,Kingston upon Thames,51.41210062,-0.273362867,Private room,50,1,0,,,1,365
11114805,Double Bedroom in Kingston,32839572,Daniel,,Kingston upon Thames,51.40180865,-0.306748651,Private room,35,1,2,24/08/2016,0.27,2,365
14764938,Small double room in simple 2-bed flat,1950396,Linsey,,Kingston upon Thames,51.39984661,-0.273256774,Private room,75,3,0,,,2,85
15031714,The single room is available right now.,94925320,Elena,,Kingston upon Thames,51.41651743,-0.268425025,Private room,37,1,1,25/09/2016,1,1,51
1530163,Private room(s) in New Malden,8161941,Mike,,Kingston upon Thames,51.40411359,-0.249172775,Private room,36,3,17,06/01/2016,0.47,1,154
9263269,Spacious bedroom with king size bed,30190840,Caroline,,Kingston upon Thames,51.40014137,-0.297970088,Private room,55,1,17,24/09/2016,4.15,1,303
9525571,Bright bijoux bedroom.,49348585,Merrydith,,Kingston upon Thames,51.40881815,-0.263957977,Private room,65,1,0,,,2,365
8388331,En Suite Single Close to Amenities,39326230,Miyuki,,Kingston upon Thames,51.40125889,-0.250968463,Private room,21,3,7,10/09/2016,0.56,1,0
6945721,Kingston Hill Rooms,36418899,Anish,,Kingston upon Thames,51.4215075,-0.279277002,Private room,23,1,1,05/09/2016,1,2,0
9696223,Comfortable & cosy room in Kingston,50044324,Binyam,,Kingston upon Thames,51.40869556,-0.289192114,Private room,38,1,1,01/01/2016,0.11,1,302
3603952,Peace and light in Kingston,18158977,Amy,,Kingston upon Thames,51.40765812,-0.295922857,Private room,49,3,39,17/09/2016,1.53,1,328
6312587,Double Bedroom in Kingston,32839572,Daniel,,Kingston upon Thames,51.4014818,-0.307915114,Private room,35,1,2,28/08/2016,0.12,2,365
782346,Kingston Hill Large Double Bedroom & Own Bathroom,3534259,Lavinia,,Kingston upon Thames,51.42031519,-0.280488629,Private room,70,1,23,08/08/2016,0.82,3,362
782322,Kingston Hill Double bedroom with own bathroom,3534259,Lavinia,,Kingston upon Thames,51.41722433,-0.283209157,Private room,70,1,0,,,3,364
13888104,Surbiton Station Apartment,16864616,"Rees, Haja & Anthea",,Kingston upon Thames,51.39640067,-0.304815779,Private room,40,3,11,23/09/2016,4.4,1,67
13885996,Bright double bedroom with king bed,69609516,Inas,,Kingston upon Thames,51.39964955,-0.303950049,Private room,44,2,0,,,2,303
