,LSOA,Assault With Injury,Common Assault,Harassment,Murder,Offensive Weapon,Other Violence,Personal Property,Theft Person,Wounding/GBH
72,E01000080,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,E01000081,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
74,E01000082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
75,E01000083,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,E01000084,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
77,E01000085,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
78,E01000086,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
79,E01000087,1.0,2.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0
80,E01000088,2.0,2.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0
81,E01000089,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
82,E01000090,1.0,2.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0
83,E01000091,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84,E01000092,3.0,1.0,7.0,0.0,0.0,1.0,5.0,1.0,1.0
85,E01000093,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
86,E01000094,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
87,E01000095,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
88,E01000096,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
89,E01000097,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
90,E01000098,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,E01000099,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
92,E01000100,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
93,E01000101,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,E01000102,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
95,E01000103,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,E01000104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,E01000105,5.0,2.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0
98,E01000106,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
99,E01000107,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
100,E01000108,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
101,E01000109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,E01000110,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,E01000111,2.0,5.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0
104,E01000112,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
105,E01000113,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,E01000114,0.0,2.0,6.0,0.0,0.0,2.0,3.0,1.0,2.0
107,E01000115,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,E01000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,E01000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,E01000118,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
111,E01000119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
112,E01000120,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
113,E01000121,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,E01000122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
115,E01000123,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
116,E01000124,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,E01000125,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
118,E01000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,E01000127,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,E01000128,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
121,E01000129,3.0,0.0,7.0,0.0,1.0,3.0,2.0,0.0,3.0
122,E01000130,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,E01000131,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
124,E01000132,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
125,E01000133,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
126,E01000134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,E01000135,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,E01000136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
129,E01000137,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
130,E01000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,E01000139,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
132,E01000140,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0
133,E01000141,4.0,7.0,7.0,0.0,1.0,1.0,0.0,2.0,2.0
134,E01000142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,E01000143,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
136,E01000144,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
137,E01000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,E01000146,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0
139,E01000147,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,E01000148,3.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0
141,E01000150,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
142,E01000151,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
143,E01000152,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
144,E01000153,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
145,E01000154,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,E01000155,3.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
147,E01000156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,E01000157,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
149,E01000158,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
150,E01000159,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
151,E01000160,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,E01000161,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
153,E01000162,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
154,E01000163,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
155,E01000164,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
156,E01000165,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
157,E01000166,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
158,E01000167,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,E01000168,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,E01000169,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
161,E01000170,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
162,E01000171,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
163,E01000172,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,E01000173,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
165,E01000174,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
166,E01000175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167,E01000176,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
168,E01000177,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
169,E01000178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170,E01000179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,E01000180,0.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0
172,E01000181,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
173,E01000182,1.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0
174,E01000183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
175,E01000184,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
176,E01000185,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,E01000186,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
178,E01000187,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
179,E01000188,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,E01000189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
181,E01000190,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
182,E01000191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,E01000192,3.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
184,E01000193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0
185,E01000194,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
186,E01000195,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0
187,E01000196,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
188,E01000197,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
189,E01000198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,E01000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,E01000200,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
192,E01000201,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
193,E01000202,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
194,E01000203,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,E01000204,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,E01000205,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,E01000206,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
198,E01000207,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
199,E01000208,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
200,E01000209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,E01000210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,E01000211,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,E01000212,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
204,E01000213,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
